date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:56	8367/8367	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:58%20GMT	http://stanton.ice.put.poznan.pl/nowak/2007/12/14/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/2007/12/14/index.html	(from http://stanton.ice.put.poznan.pl/nowak/2007/12/)
10:10:56	35459/35459	---M--	200	added ('OK')	image/jpeg	etag:%22dd91a-8a83-422a079c66700%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_5.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_5.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:57	8687/8687	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2009:10:59%20GMT	http://stanton.ice.put.poznan.pl/nowak/2007/12/15/	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/2007/12/15/index.html	(from http://stanton.ice.put.poznan.pl/nowak/2007/12/)
10:10:58	1298/1298	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:11:00%20GMT	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_9.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_9.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:58	270/270	---M--	200	added ('OK')	image/gif	etag:%22dd911-10e-422a07a21f480%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_blockquote.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_blockquote.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:58	32984/32984	---M--	200	added ('OK')	image/jpeg	etag:%22dd910-80d8-422a07a21f480%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_7.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_7.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:58	76/76	---M--	200	added ('OK')	image/gif	etag:%22dd912-4c-422a07a5efd80%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/post_read.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/post_read.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:58	76/76	---M--	200	added ('OK')	image/gif	etag:%22dd91b-4c-422a07a5efd80%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/post_comment.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/post_comment.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:59	231/231	---M--	200	added ('OK')	image/gif	etag:%22dd916-e7-422a07a5efd80%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/gravatar.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/gravatar.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:59	106210/106210	---M--	200	added ('OK')	image/png	etag:%22f881ebe148efaf22280225e801e2588f%22	http://stanton.ice.put.poznan.pl/nowak/files/2015/01/tlo1.png	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/files/2015/01/tlo1.png	(from http://stanton.ice.put.poznan.pl/nowak/)
10:10:59	299/299	---M--	200	added ('OK')	image/gif	etag:%22dd91e-12b-422a07a407900%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_feed.gif	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_feed.gif	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:10:59	32420/32420	---M--	200	added ('OK')	image/jpeg	etag:%22dd915-7ea4-422a07a21f480%22	http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_8.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/images/bg_8.jpg	(from http://stanton.ice.put.poznan.pl/nowak/wp-content/themes/regulus/style.css)
10:11:24	147011/147011	---M--	200	added ('OK')	application/pdf	etag:%22bcbefc7556cf1:0%22	http://www.wccm-eccm-ecfd2014.org/admin/files/fileabstract/a3849.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.wccm-eccm-ecfd2014.org/admin/files/fileabstract/a3849.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:11:31	214715/214715	---M--	200	added ('OK')	application/pdf	etag:%2221d9a-346bb-532a5d8739780%22	http://solmech2016.ippt.pan.pl/Abstracts/0088.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/solmech2016.ippt.pan.pl/Abstracts/0088.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:11:31	7834/7834	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:11:34%20GMT	http://www.ptmkm.pl/sites/default/files/MS05_12_2013.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.ptmkm.pl/sites/default/files/MS05_12_2013.1a.delayed	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:11:32	7834/7834	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:11:34%20GMT	http://www.ptmkm.pl/sites/default/files/TS04_03_2013.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.ptmkm.pl/sites/default/files/TS04_03_2013.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:11:32	7834/7834	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:11:34%20GMT	http://www.ptmkm.pl/sites/default/files/TS02_03_2013.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.ptmkm.pl/sites/default/files/TS02_03_2013.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:11:33	314/314	---M-Z	302	error ('Found')	text/html	date:Thu,%2026%20Jan%202017%2009:10:50%20GMT	http://www.ippt.gov.pl/~bulletin/(59-1)57.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.ippt.gov.pl/_bulletin/(59-1)57.1d.delayed	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:13:06	775927/775927	---M--	200	added ('OK')	application/pdf	etag:%22b9e0be60350cf1:0%22	http://www.wccm-eccm-ecfd2014.org/admin/files/fileabstract/a2312.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.wccm-eccm-ecfd2014.org/admin/files/fileabstract/a2312.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:13:30	730336/730336	---M--	200	added ('OK')	application/pdf	etag:%224e8b8-b24e0-4a8fca8f9a2c0%22	http://bluebox.ippt.pan.pl/~bulletin/(59-1)57.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/bluebox.ippt.pan.pl/_bulletin/(59-1)57.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:13:31	7933/7933	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:13:33%20GMT	http://stanton.ice.put.poznan.pl/nowak/images/ictam1.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/images/ictam1.20.delayed	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:13:31	7933/7933	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:13:33%20GMT	http://stanton.ice.put.poznan.pl/nowak/images/ictam2.jpg	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/images/ictam2.jpg	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:13:31	7933/7933	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2009:13:34%20GMT	http://stanton.ice.put.poznan.pl/nowak/tekst1.html	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/tekst1.html	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:14:34	1164792/1164792	---M--	200	added ('OK')	application/pdf	date:Wed,%2029%20Jan%202014%2007:34:23%20GMT	http://www.ptmts.org.pl/2014-1-hausa-n.pdf	C:/Users/Dominik/Desktop/Nwww/Nwww/www.ptmts.org.pl/2014-1-hausa-n.pdf	(from http://stanton.ice.put.poznan.pl/nowak/publications/)
10:14:41	44714/44714	---M--	200	added ('OK')	image/png	etag:%22c10c0c7d3b878657d563c80ac2ef955f%22	http://stanton.ice.put.poznan.pl/nowak/files/2013/09/wing.png	C:/Users/Dominik/Desktop/Nwww/Nwww/stanton.ice.put.poznan.pl/nowak/files/2013/09/wing.png	(from http://stanton.ice.put.poznan.pl/nowak/projekt-ncn/)
